,prescriber_st,POPESTIMATE2020,class,year_month,trx,qty,DDD,DDDper1000
0,AK,731158,Aminoglycosides,202001,17.5431,357.354,39.37464,0.05
1,AK,731158,Aminoglycosides,202002,26.0,768.9638,109.37682000000001,0.15
2,AK,731158,Aminoglycosides,202003,11.549700000000001,552.8223999999999,88.3286236,0.12
3,AK,731158,Aminoglycosides,202004,19.9757,717.3534,104.18861666000001,0.14
4,AK,731158,Aminoglycosides,202005,15.8666,566.201,89.5786768,0.12
5,AK,731158,Aminoglycosides,202006,33.3947,677.9703999999999,61.758569820000005,0.08
6,AK,731158,Aminoglycosides,202007,23.8429,1211.57,208.80164000000002,0.29
7,AK,731158,Aminoglycosides,202008,25.006999999999998,641.7669999999999,109.89262336,0.15
8,AK,731158,Aminoglycosides,202009,37.5612,1081.7662,175.294868,0.24
9,AK,731158,Aminoglycosides,202010,26.8074,744.2,106.06716,0.15
10,AK,731158,Aminoglycosides,202011,25.4046,387.59759999999994,42.66318718,0.06
11,AK,731158,Aminoglycosides,202012,15.8564,707.7858,130.4279,0.18
12,AK,731158,Broad-spectrum Penicillins,202001,10115.769400000001,529519.3321,93862.11450000001,128.37
13,AK,731158,Broad-spectrum Penicillins,202002,9314.2214,547519.0086999999,86997.91533833333,118.99
14,AK,731158,Broad-spectrum Penicillins,202003,8583.3881,431343.5789,80724.10506166668,110.41
15,AK,731158,Broad-spectrum Penicillins,202004,4411.2534000000005,165048.37780000002,42817.128841666665,58.56
16,AK,731158,Broad-spectrum Penicillins,202005,4476.8544,140075.6135,40344.564908333334,55.18
17,AK,731158,Broad-spectrum Penicillins,202006,5101.2235,164196.5873,44898.813,61.41
18,AK,731158,Broad-spectrum Penicillins,202007,5527.5287,180740.5361,48357.06633333333,66.14
19,AK,731158,Broad-spectrum Penicillins,202008,5370.5762,171505.7089,47477.94092166667,64.94
20,AK,731158,Broad-spectrum Penicillins,202009,5322.3389,175161.4804,46829.06454166667,64.05
21,AK,731158,Broad-spectrum Penicillins,202010,5729.6865,179045.5544,50962.73230833333,69.7
22,AK,731158,Broad-spectrum Penicillins,202011,5295.7636,171510.8204,47448.78671666667,64.9
23,AK,731158,Broad-spectrum Penicillins,202012,5630.7271,175504.24539999999,50225.27880666667,68.69
24,AK,731158,Carbapenems,202002,1.2281,12.281,12.281,0.02
25,AK,731158,Cephalosporins,202001,4158.8624,154402.4082,30409.24145226,41.59
26,AK,731158,Cephalosporins,202002,3899.5606000000002,147237.7107,28241.78079567,38.63
27,AK,731158,Cephalosporins,202003,3687.0511999999994,145747.64919999999,27587.32452124,37.73
28,AK,731158,Cephalosporins,202004,2405.641,84181.6514,17796.855237059997,24.34
29,AK,731158,Cephalosporins,202005,2753.6845,96117.6982,19311.00352104,26.41
30,AK,731158,Cephalosporins,202006,3059.4287,110459.9369,20435.36293002,27.95
31,AK,731158,Cephalosporins,202007,3429.9071,126721.1661,23316.24690774,31.89
32,AK,731158,Cephalosporins,202008,3294.4551,116097.2042,22238.09036677,30.41
33,AK,731158,Cephalosporins,202009,3109.5595,114047.1765,21395.84652884,29.26
34,AK,731158,Cephalosporins,202010,3120.7444,101198.9554,21129.67125142,28.9
35,AK,731158,Cephalosporins,202011,2801.5363,97093.0339,19892.70110748,27.21
36,AK,731158,Cephalosporins,202012,2942.8087,95930.071,20357.37446218,27.84
37,AK,731158,Glycopeptides,202001,27.304399999999998,1570.0497,130.48798130656667,0.18
38,AK,731158,Glycopeptides,202002,41.8902,2364.6788,161.62878767029792,0.22
39,AK,731158,Glycopeptides,202003,31.529,2089.964,153.1663126281984,0.21
40,AK,731158,Glycopeptides,202004,44.4621,3060.3546,164.8521004319921,0.23
41,AK,731158,Glycopeptides,202005,30.7667,1620.8496,111.62183762267827,0.15
42,AK,731158,Glycopeptides,202006,27.048099999999998,2267.1088,225.90973779704814,0.31
43,AK,731158,Glycopeptides,202007,27.1092,1492.5678,107.02500011920928,0.15
44,AK,731158,Glycopeptides,202008,39.118,2076.0468,142.72355017881392,0.2
45,AK,731158,Glycopeptides,202009,35.2833,2338.0504,149.4067253229063,0.2
46,AK,731158,Glycopeptides,202010,32.5545,1619.687,89.23043761920928,0.12
47,AK,731158,Glycopeptides,202011,38.6562,2459.9544,163.3684002384186,0.22
48,AK,731158,Glycopeptides,202012,31.0747,2056.3478,144.6255126117587,0.2
49,AK,731158,Macrolides,202001,6276.2654,97668.14719999999,41006.9295222,56.08
50,AK,731158,Macrolides,202002,5624.5499,87077.6921,35332.8955542,48.32
51,AK,731158,Macrolides,202003,6110.2111,92730.77739999999,41274.7389092,56.45
52,AK,731158,Macrolides,202004,3203.6749,57208.1541,23045.223594699997,31.52
53,AK,731158,Macrolides,202005,2326.1442,48245.464,17377.1677392,23.77
54,AK,731158,Macrolides,202006,2583.7154,60774.967300000004,19254.4312823,26.33
55,AK,731158,Macrolides,202007,2765.3916,63201.3768,20039.239355,27.41
56,AK,731158,Macrolides,202008,2821.4025,59869.1495,19299.990432399998,26.4
57,AK,731158,Macrolides,202009,2787.8199,58773.4113,19614.0501586,26.83
58,AK,731158,Macrolides,202010,3277.8076,60886.527,23176.3146466,31.7
59,AK,731158,Macrolides,202011,3240.1754,60550.3554,22549.7691439,30.84
60,AK,731158,Macrolides,202012,3366.2012,61157.446899999995,23530.116183198938,32.18
61,AK,731158,Narrow-spectrum Penicillins,202001,707.7157,27586.3218,4830.7078,6.61
62,AK,731158,Narrow-spectrum Penicillins,202002,654.1938,26329.0939,4504.911475,6.16
63,AK,731158,Narrow-spectrum Penicillins,202003,626.2982000000001,23979.7024,4418.04475,6.04
64,AK,731158,Narrow-spectrum Penicillins,202004,407.534,15857.0468,3228.9922500000002,4.42
65,AK,731158,Narrow-spectrum Penicillins,202005,460.91859999999997,14490.4475,3392.873775,4.64
66,AK,731158,Narrow-spectrum Penicillins,202006,479.7393,16050.0233,3653.9451624999997,5.0
67,AK,731158,Narrow-spectrum Penicillins,202007,530.7207999999999,17948.9778,3964.1935875,5.42
68,AK,731158,Narrow-spectrum Penicillins,202008,518.2086,18107.3687,3950.5459875,5.4
69,AK,731158,Narrow-spectrum Penicillins,202009,504.2538,18490.610200000003,3977.26215,5.44
70,AK,731158,Narrow-spectrum Penicillins,202010,510.0395,17568.8599,3754.146675,5.13
71,AK,731158,Narrow-spectrum Penicillins,202011,447.9482,14989.8127,3159.869675,4.32
72,AK,731158,Narrow-spectrum Penicillins,202012,549.2814,18876.728,4178.3358125,5.71
73,AK,731158,Others,202001,4.9427,1213.81,81.05399191758023,0.11
74,AK,731158,Others,202002,17.4672,993.6283999999999,94.57297389087609,0.13
75,AK,731158,Others,202003,11.7857,1103.2962,102.72769334438516,0.14
76,AK,731158,Others,202004,8.9001,1732.7105,138.20401555660868,0.19
77,AK,731158,Others,202005,7.0332,841.3137,66.11403476951807,0.09
78,AK,731158,Others,202006,16.2123,841.1502,87.61148834145939,0.12
79,AK,731158,Others,202007,3.9802,810.06,56.6039946396,0.08
80,AK,731158,Others,202008,11.820599999999999,904.5328,71.95055429416058,0.1
81,AK,731158,Others,202009,6.0379,324.6114,35.89427812661835,0.05
82,AK,731158,Others,202010,14.0968,1200.194,112.2421992530749,0.15
83,AK,731158,Others,202011,5.0202,469.4848,38.696957344495964,0.05
84,AK,731158,Others,202012,6.9447,1455.5851,109.34649047820001,0.15
85,AK,731158,Oxazolidinones,202001,17.8724,429.14320000000004,214.57160000000002,0.29
86,AK,731158,Oxazolidinones,202002,19.2186,499.6634,249.8317,0.34
87,AK,731158,Oxazolidinones,202003,14.3109,391.828,201.914,0.28
88,AK,731158,Oxazolidinones,202004,9.1546,263.3126,134.6851,0.18
89,AK,731158,Oxazolidinones,202005,11.0246,327.1177,163.55885,0.22
90,AK,731158,Oxazolidinones,202006,15.027,363.8784,181.9392,0.25
91,AK,731158,Oxazolidinones,202007,18.5141,383.61199999999997,191.80599999999998,0.26
