,prescriber_st,POPESTIMATE2017,class,year_month,trx,qty,DDD,DDDper1000
0,AK,740983.0,Aminoglycosides,201701,49.6397,3852.8632000000002,610.088255,0.82
1,AK,740983.0,Aminoglycosides,201702,34.5905,3805.6018,606.380693,0.82
2,AK,740983.0,Aminoglycosides,201703,45.6008,5745.7468,918.2286507499999,1.24
3,AK,740983.0,Aminoglycosides,201704,29.9876,6047.8752,998.4321190599999,1.35
4,AK,740983.0,Aminoglycosides,201705,30.756899999999998,902.7505000000001,116.38312,0.16
5,AK,740983.0,Aminoglycosides,201706,35.9747,857.092,85.7092,0.12
6,AK,740983.0,Aminoglycosides,201707,28.0697,1146.9892,194.04702,0.26
7,AK,740983.0,Aminoglycosides,201708,31.717600000000004,753.5476,75.35476,0.1
8,AK,740983.0,Aminoglycosides,201709,35.3361,644.0634,97.060897,0.13
9,AK,740983.0,Aminoglycosides,201710,37.1803,919.2024,143.58304,0.19
10,AK,740983.0,Aminoglycosides,201711,38.800700000000006,735.1648,77.00611404,0.1
11,AK,740983.0,Aminoglycosides,201712,49.9603,2098.2646000000004,315.43686,0.43
12,AK,740983.0,Broad-spectrum Penicillins,201701,10914.7301,583483.2683,104446.29110166666,140.96
13,AK,740983.0,Broad-spectrum Penicillins,201702,11133.0809,659509.0604,107116.93390833333,144.56
14,AK,740983.0,Broad-spectrum Penicillins,201703,10949.036399999999,619400.9764,104886.57541333332,141.55
15,AK,740983.0,Broad-spectrum Penicillins,201704,9604.9577,548382.2456,91588.6171,123.6
16,AK,740983.0,Broad-spectrum Penicillins,201705,9398.9051,494512.1607,89150.79775166667,120.31
17,AK,740983.0,Broad-spectrum Penicillins,201706,8064.916,365391.3714,76461.70437666666,103.19
18,AK,740983.0,Broad-spectrum Penicillins,201707,7114.111,327118.3166,67522.16258,91.13
19,AK,740983.0,Broad-spectrum Penicillins,201708,7724.6656,339896.2908,72766.08236166666,98.2
20,AK,740983.0,Broad-spectrum Penicillins,201709,8232.3236,404510.1647,78419.27558833333,105.83
21,AK,740983.0,Broad-spectrum Penicillins,201710,9383.878,500351.2697,89038.49671666666,120.16
22,AK,740983.0,Broad-spectrum Penicillins,201711,9809.2286,567809.4309,94031.0468774398,126.9
23,AK,740983.0,Broad-spectrum Penicillins,201712,10713.2086,641464.0304,102854.17533583334,138.81
24,AK,740983.0,Carbapenems,201703,1.0,3.0,3.0,0.0
25,AK,740983.0,Carbapenems,201708,1.0177,7.1239,7.1239,0.01
26,AK,740983.0,Carbapenems,201712,2.9369,29.369,29.369,0.04
27,AK,740983.0,Cephalosporins,201701,3983.6575000000003,160513.5471,30179.89583969,40.73
28,AK,740983.0,Cephalosporins,201702,4139.7987,182146.5983,31728.9170847,42.82
29,AK,740983.0,Cephalosporins,201703,4362.9953,191761.2955,33056.5296213,44.61
30,AK,740983.0,Cephalosporins,201704,3848.6369999999997,162527.4806,28436.0113742664,38.38
31,AK,740983.0,Cephalosporins,201705,4080.8234,167376.9791,30873.35388438,41.67
32,AK,740983.0,Cephalosporins,201706,3848.1946,164521.92669999998,28397.16752329,38.32
33,AK,740983.0,Cephalosporins,201707,3825.8348,153108.75639999998,27521.7208238,37.14
34,AK,740983.0,Cephalosporins,201708,4011.8145,168662.3337,29747.90199109,40.15
35,AK,740983.0,Cephalosporins,201709,3932.4498,154846.6317,28875.49005882,38.97
36,AK,740983.0,Cephalosporins,201710,4151.5352,164371.9211,30557.6028841,41.24
37,AK,740983.0,Cephalosporins,201711,3984.9608000000003,158183.7162,29554.92391982,39.89
38,AK,740983.0,Cephalosporins,201712,4263.9925,179008.7679,31982.44812754,43.16
39,AK,740983.0,Glycopeptides,201701,28.4689,2343.6506999999997,191.189875,0.26
40,AK,740983.0,Glycopeptides,201702,34.4661,1618.3072,123.3190125,0.17
41,AK,740983.0,Glycopeptides,201703,24.0393,1561.8097,142.14743125,0.19
42,AK,740983.0,Glycopeptides,201704,32.5988,1683.3783,127.12528125,0.17
43,AK,740983.0,Glycopeptides,201705,29.755200000000002,2781.3109999999997,106.6198875,0.14
44,AK,740983.0,Glycopeptides,201706,25.4095,1177.2957,70.44554375,0.1
45,AK,740983.0,Glycopeptides,201707,30.9711,2746.5006000000003,116.0442875,0.16
46,AK,740983.0,Glycopeptides,201708,25.979699999999998,1129.5039,141.56960625,0.19
47,AK,740983.0,Glycopeptides,201709,24.857599999999998,998.9408000000001,106.2354375,0.14
48,AK,740983.0,Glycopeptides,201710,12.2168,565.2567,88.44528749999999,0.12
49,AK,740983.0,Glycopeptides,201711,35.4275,1526.9184,138.6364,0.19
50,AK,740983.0,Glycopeptides,201712,32.1699,1481.4506,133.542075,0.18
51,AK,740983.0,Macrolides,201701,8618.9683,121841.6305,54781.8688762,73.93
52,AK,740983.0,Macrolides,201702,8179.479200000001,121756.0677,52381.206782,70.69
53,AK,740983.0,Macrolides,201703,8191.968800000001,122994.8051,53138.2472076037,71.71
54,AK,740983.0,Macrolides,201704,7077.2355,112227.11110000001,45776.2939679,61.78
55,AK,740983.0,Macrolides,201705,6806.3374,109620.3484,44139.78727619461,59.57
56,AK,740983.0,Macrolides,201706,5868.9869,101204.1909,39297.081468,53.03
57,AK,740983.0,Macrolides,201707,4969.567,93379.3859,34092.9525098,46.01
58,AK,740983.0,Macrolides,201708,5623.7128,100291.2898,37677.0335423,50.85
59,AK,740983.0,Macrolides,201709,6635.2163,103136.5301,43690.8190713,58.96
60,AK,740983.0,Macrolides,201710,6967.3179,110233.6181,44511.7326817,60.07
61,AK,740983.0,Macrolides,201711,6935.575199999999,106246.026,43469.048023949996,58.66
62,AK,740983.0,Macrolides,201712,8253.5108,119147.5861,53047.0912139,71.59
